# EM Convergence Results
# Aitken acceleration: enabled
# Aitken damping: 0.8
# Converged: no
# Total iterations: 100
# Total time (ms): 141213.00
# Final LL: -1758068.6998854543

=== Iteration Data ===
Iter	LL	Aitken_LL_Est	Time_ms
92	-1758479.1043665265	-1817224.2872921231	1424.2618
93	-1758433.5891319804	-1823145.0579377259	1420.7253
94	-1758388.0450078368	-1830187.8419741238	1422.2408
95	-1758342.4751885266	-1839159.5591283457	1427.0972
96	-1758296.8830125267	-1851273.3720474734	1421.5688
97	-1758251.2716435578	-1866644.9747468156	1419.4326
98	-1758205.6444126235	-1889453.2003954563	1423.5732
99	-1758160.0044927355	-1922318.7162999089	1424.5761
100	-1758114.3551681635	-1979691.2677649381	1415.2309

=== Aitken Acceleration Events ===
Iter	Lambda	Accel_Factor	Applied
3	1.00554326	0.00000000	no
6	1.00575872	0.00000000	no
9	1.00599047	0.00000000	no
12	1.00623783	0.00000000	no
15	1.00649984	0.00000000	no
18	1.00677526	0.00000000	no
21	1.00706254	0.00000000	no
24	1.00735984	0.00000000	no
27	1.00766505	0.00000000	no
30	1.00797584	0.00000000	no
33	1.00828967	0.00000000	no
36	1.00860387	0.00000000	no
39	1.00891568	0.00000000	no
42	1.00922231	0.00000000	no
45	1.00952100	0.00000000	no
