=== Log-Likelihood Precision Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.
Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.170 ms
  Std Dev: 6.6193e-02 ms
  Range:   1.140 to 2.914 ms

Backward pass:
  Average: 1.578 ms
  Std Dev: 4.3950e-02 ms
  Range:   1.507 to 1.782 ms

Propagation / Pruning time ratio:
  Average: 2.349321
  Std Dev: 3.0560e-02
  Range:   1.609620 to 2.418979

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
  384      1.171232      1.570624      2.341002
  385      1.184448      1.592352      2.344383
  386      1.177600      1.575296      2.337717
  387      1.155744      1.567744      2.356480
  388      1.169408      1.584128      2.354641
  389      1.159808      1.565696      2.349961
  390      1.163200      1.509376      2.297606
  391      1.161216      1.564672      2.347443
  392      1.156800      1.565696      2.353472
  393      1.166304      1.562624      2.339808
  394      1.158144      1.597440      2.379310
  395      1.165312      1.563648      2.341828
  396      1.159168      1.571840      2.356007
  397      1.161216      1.588064      2.367587
  398      1.157120      1.581056      2.366372
  399      1.176512      1.584128      2.346462
  400      1.154048      1.589248      2.377107
  401      1.146880      1.568576      2.367690
  402      1.159360      1.564672      2.349600
  403      1.152000      1.580032      2.371556
  404      1.146880      1.575488      2.373716
  405      1.164832      1.574912      2.352051
  406      1.163264      1.566368      2.346528
  407      1.162240      1.569792      2.350661
  408      1.166912      1.563648      2.339988
  409      1.189888      1.610912      2.353835
  410      1.166336      1.594368      2.366988
  411      1.169408      1.579008      2.350263
  412      1.166208      1.586176      2.360114
  413      1.158144      1.590272      2.373121
  414      1.159168      1.554432      2.340990
  415      1.149952      1.560576      2.357079
  416      1.161216      1.581056      2.361552
  417      1.176576      1.562624      2.328111
  418      1.162240      1.536000      2.321586
  419      1.171680      1.525760      2.302199
  420      1.170272      1.559392      2.332504
  421      1.170272      1.539648      2.315633
  422      1.169344      1.515520      2.296043
  423      1.163136      1.572864      2.352262
  424      1.161152      1.583104      2.363391
  425      1.164288      1.568640      2.347296
  426      1.164608      1.508192      2.295021
  427      1.159936      1.575168      2.357979
  428      1.166336      1.567744      2.344162
  429      1.155072      1.581056      2.368794
  430      1.159168      1.573792      2.357691
  431      1.164992      1.563456      2.342031
  432      1.159072      1.538976      2.327766
  433      1.167360      1.581056      2.354386
  434      1.162048      1.583104      2.362340
  435      1.153024      1.587200      2.376554
  436      1.158144      1.593344      2.375774
  437      1.160000      1.564480      2.348690
  438      1.155712      1.583712      2.370334
  439      1.162240      1.586176      2.364758
  440      1.164288      1.573984      2.351886
  441      1.153696      1.541952      2.336532
  442      1.161952      1.561376      2.343753
  443      1.144832      1.566720      2.368515
  444      1.160736      1.520544      2.309983
  445      1.165248      1.571840      2.348932
  446      1.152000      1.572800      2.365278
  447      1.162080      1.601120      2.377805
  448      1.150976      1.575936      2.369217
  449      1.164288      1.575936      2.353562
  450      1.151776      1.578752      2.370711
  451      1.154048      1.567392      2.358169
  452      1.161216      1.582976      2.363205
  453      1.157856      1.566720      2.353122
  454      1.161184      1.575936      2.357180
  455      1.161216      1.573856      2.355352
  456      1.158144      1.584128      2.367816
  457      1.155840      1.571776      2.359856
  458      1.155072      1.567744      2.357270
  459      1.159168      1.587136      2.369203
  460      1.149536      1.572864      2.368260
  461      1.173504      1.577984      2.344677
  462      1.161408      1.580992      2.361272
  463      1.154016      1.552384      2.345201
  464      1.155712      1.566912      2.355798
  465      1.148928      1.563648      2.360962
  466      1.163264      1.554432      2.336268
  467      1.163264      1.555456      2.337148
  468      1.180544      1.565696      2.326250
  469      1.162560      1.565696      2.346766
  470      1.157088      1.521664      2.315080
  471      1.165312      1.560352      2.338999
  472      1.165312      1.556480      2.335677
  473      1.159008      1.581056      2.364146
  474      1.160192      1.581056      2.362754
  475      1.154848      1.567744      2.357533
  476      1.156096      1.581664      2.368108
  477      1.150720      1.570432      2.364738
  478      1.144832      1.568768      2.370304
  479      1.162240      1.561568      2.343585
  480      1.150976      1.538912      2.337050
  481      1.156096      1.579776      2.366475
  482      1.168384      1.572416      2.345804
  483      1.144672      1.571744      2.373095
  484      1.147904      1.577216      2.373996
  485      1.168000      1.551360      2.328219
  486      1.162240      1.558720      2.341134
  487      1.163904      1.564224      2.343946
  488      1.212416      1.566720      2.292230
  489      1.152000      1.564384      2.357972
  490      1.165952      1.570368      2.346855
  491      1.159168      1.553408      2.340106
  492      1.145856      1.575040      2.374553
  493      1.166112      1.534720      2.316100
  494      1.147424      1.540096      2.342221
